구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,sales_type,age,year
Audi - A6 45 TDI quattro,0,1,4,1,0,0,0,0,0,0,0,0,6,개인,20~29,2020
Audi - A6 45 TFSI,6,5,23,13,0,0,0,0,0,0,0,0,47,개인,20~29,2020
Audi - A6 45 TFSI quattro,11,13,17,8,0,0,0,0,0,0,0,0,49,개인,20~29,2020
Audi - A6 50 TDI quattro,0,0,0,1,0,0,0,0,0,0,0,0,1,개인,20~29,2020
Audi - A7 45 TDI quattro,0,1,0,0,0,0,0,0,0,0,0,0,1,개인,20~29,2020
Audi - A7 55 TFSI quattro,1,5,4,1,0,0,0,0,0,0,0,0,11,개인,20~29,2020
Audi - A8 L 50 TDI quattro,0,0,1,0,0,0,0,0,0,0,0,0,1,개인,20~29,2020
Audi - Q2 35 TDI,1,0,1,0,0,0,0,0,0,0,0,0,2,개인,20~29,2020
Audi - Q5 40 TDI quattro,5,1,0,0,0,0,0,0,0,0,0,0,6,개인,20~29,2020
Audi - Q7 55 TFSI quattro,0,1,0,0,0,0,0,0,0,0,0,0,1,개인,20~29,2020
Audi - Q8 45 TDI quattro,0,0,1,1,0,0,0,0,0,0,0,0,2,개인,20~29,2020
Audi - Q8 50 TDI quattro,0,1,1,0,0,0,0,0,0,0,0,0,2,개인,20~29,2020
