구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,area,sales_type,age,year
Land Rover,9,7,20,6,12,20,4,10,21,17,16,25,167,서울,개인-여자,30~39,2016
Lexus,11,12,29,12,14,14,18,13,19,15,19,22,198,서울,개인-여자,30~39,2016
MINI,21,31,31,31,57,38,33,42,43,30,35,57,449,서울,개인-여자,30~39,2016
Mercedes-Benz,131,103,139,86,82,119,92,94,118,110,107,77,"1,258",서울,개인-여자,30~39,2016
Nissan,5,8,8,5,9,5,8,7,7,7,7,4,80,서울,개인-여자,30~39,2016
Peugeot,3,7,6,6,4,3,6,12,8,2,1,6,64,서울,개인-여자,30~39,2016
Porsche,4,3,6,7,6,2,2,0,4,1,1,4,40,서울,개인-여자,30~39,2016
Toyota,18,17,18,17,19,27,18,27,25,17,31,18,252,서울,개인-여자,30~39,2016
Volvo,10,10,14,9,14,8,12,18,15,14,10,1,135,서울,개인-여자,30~39,2016
Audi,9,1,0,0,0,0,0,0,0,0,1,0,11,서울,개인-여자,40~49,2016
BMW,25,45,90,75,56,52,39,33,44,53,71,77,660,서울,개인-여자,40~49,2016
Bentley,0,0,0,0,1,0,0,0,0,1,1,0,3,서울,개인-여자,40~49,2016
Cadillac,1,2,0,1,4,2,0,0,1,0,0,3,14,서울,개인-여자,40~49,2016
Chrysler,3,3,8,5,9,10,2,5,5,6,7,5,68,서울,개인-여자,40~49,2016
Citroen,1,1,5,1,5,2,2,1,1,0,0,1,20,서울,개인-여자,40~49,2016
Fiat,2,5,8,2,1,0,0,0,0,0,0,0,18,서울,개인-여자,40~49,2016
Ford,7,4,9,8,11,11,10,10,16,6,5,8,105,서울,개인-여자,40~49,2016
Honda,9,4,5,15,30,31,13,9,9,15,5,8,153,서울,개인-여자,40~49,2016
Infiniti,2,3,1,5,2,7,10,6,8,4,3,7,58,서울,개인-여자,40~49,2016
Jaguar,1,0,12,0,2,2,5,1,5,0,1,4,33,서울,개인-여자,40~49,2016
Land Rover,8,4,26,6,11,11,10,12,16,5,15,17,141,서울,개인-여자,40~49,2016
