구분,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,area,sales_type,age
Land Rover,8,4,26,6,11,11,10,12,16,5,15,17,141,서울,개인-여자,40~49
Lexus,15,16,23,19,16,29,18,26,26,23,22,29,262,서울,개인-여자,40~49
MINI,15,14,15,11,22,21,16,16,24,12,9,26,201,서울,개인-여자,40~49
Mercedes-Benz,134,99,128,91,71,129,82,84,101,73,106,51,"1,149",서울,개인-여자,40~49
Nissan,7,6,8,10,10,5,15,10,9,5,1,7,93,서울,개인-여자,40~49
Peugeot,3,8,5,7,3,7,6,2,2,4,4,6,57,서울,개인-여자,40~49
Porsche,1,2,3,5,5,3,1,4,3,2,0,6,35,서울,개인-여자,40~49
Toyota,19,15,24,13,15,19,23,28,10,19,31,22,238,서울,개인-여자,40~49
Volvo,7,12,16,7,9,11,7,8,6,12,13,5,113,서울,개인-여자,40~49
Audi,0,1,0,0,0,0,0,0,0,0,0,0,1,서울,개인-여자,50~59
BMW,18,22,33,38,22,28,14,15,23,24,28,47,312,서울,개인-여자,50~59
Cadillac,0,0,0,0,0,0,1,0,1,0,0,0,2,서울,개인-여자,50~59
Chrysler,9,3,1,2,3,8,6,5,9,4,2,5,57,서울,개인-여자,50~59
Citroen,0,0,1,0,0,1,1,0,1,2,0,0,6,서울,개인-여자,50~59
Fiat,1,4,2,0,1,0,0,0,0,0,0,0,8,서울,개인-여자,50~59
Ford,10,5,5,8,13,3,7,3,4,4,5,5,72,서울,개인-여자,50~59
Honda,1,5,6,4,14,8,8,3,11,7,4,8,79,서울,개인-여자,50~59
Infiniti,1,4,1,1,6,1,2,5,2,0,2,2,27,서울,개인-여자,50~59
Jaguar,0,2,2,1,0,4,0,0,1,0,3,2,15,서울,개인-여자,50~59
Land Rover,4,3,4,2,3,4,5,5,9,10,5,9,63,서울,개인-여자,50~59
Lexus,8,11,13,17,10,20,16,16,9,14,17,25,176,서울,개인-여자,50~59
