Brand,지역,유형,age,year,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,total
Audi,강원,개인-여자,20~29,2021,0,0,1,0,0,0,0,0,0,0,0,0,1
Audi,강원,개인-여자,30~39,2018,0,0,0,5,4,0,4,2,0,2,2,1,20
Audi,강원,개인-여자,30~39,2019,2,0,1,0,0,0,0,0,5,2,2,4,16
Audi,강원,개인-여자,30~39,2020,4,1,2,1,3,2,2,5,4,5,4,2,35
Audi,강원,개인-여자,30~39,2021,2,0,4,2,0,0,0,0,0,0,0,0,8
Audi,강원,개인-여자,40~49,2018,0,0,0,3,2,3,3,2,0,0,3,1,17
Audi,강원,개인-여자,40~49,2019,0,7,2,0,0,0,0,0,1,1,2,1,14
Audi,강원,개인-여자,40~49,2020,4,0,0,2,5,2,5,1,2,7,7,6,41
Audi,강원,개인-여자,40~49,2021,3,3,2,1,0,0,0,0,0,0,0,0,9
Audi,강원,개인-여자,50~59,2018,0,0,0,0,1,2,2,2,0,0,0,1,8
Audi,강원,개인-여자,50~59,2019,2,4,1,0,0,0,0,0,2,1,1,2,13
Audi,강원,개인-여자,50~59,2020,3,3,2,2,0,2,0,0,2,2,1,1,18
Audi,강원,개인-여자,50~59,2021,1,3,2,1,0,0,0,0,0,0,0,0,7
Audi,강원,개인-여자,60~69,2018,0,0,0,1,0,0,0,0,0,0,0,0,1
Audi,강원,개인-여자,60~69,2019,0,1,0,0,0,0,0,0,1,3,1,2,8
Audi,강원,개인-여자,60~69,2020,0,0,1,0,0,1,0,0,1,0,0,0,3
Audi,강원,개인-여자,60~69,2021,0,0,1,2,0,0,0,0,0,0,0,0,3
Audi,강원,개인-여자,70~,2019,0,0,0,0,0,0,0,0,1,1,0,0,2
Audi,강원,개인-여자,70~,2021,0,1,1,0,0,0,0,0,0,0,0,0,2
Audi,강원,법인,-,2016,2,0,0,2,1,2,4,1,2,1,2,0,17
Audi,강원,법인,-,2018,1,0,0,3,0,0,1,0,0,0,0,0,5
Audi,강원,법인,-,2019,0,1,1,0,0,0,0,0,1,3,1,0,7
Audi,강원,법인,-,2020,0,0,0,3,5,2,2,2,0,0,1,4,19
Audi,강원,법인,-,2021,1,1,2,0,0,0,0,0,0,0,0,0,4
Audi,경기,개인,20~29,2016,5,4,0,0,0,0,0,0,0,0,0,0,9
Audi,경기,개인,20~29,2017,5,4,0,0,0,0,0,0,0,0,0,0,9
Audi,경기,개인,20~29,2018,0,0,0,13,9,10,24,23,6,3,15,4,107
Audi,경기,개인,20~29,2019,2,9,3,0,0,0,0,0,19,12,17,23,85
Audi,경기,개인,20~29,2020,11,13,28,19,18,30,14,25,31,32,27,19,267
Audi,경기,개인,20~29,2021,10,14,14,19,0,0,0,0,0,0,0,0,57
Audi,경기,개인,30~39,2016,22,21,3,0,0,0,0,0,0,0,0,0,46
Audi,경기,개인,30~39,2017,22,21,3,0,0,0,0,0,0,0,0,0,46
Audi,경기,개인,30~39,2018,8,3,0,125,74,75,118,120,9,25,45,22,624
Audi,경기,개인,30~39,2019,42,100,7,0,0,0,0,0,105,159,201,116,730
Audi,경기,개인,30~39,2020,52,51,78,109,81,110,153,135,183,189,199,157,"1,497"
Audi,경기,개인,30~39,2021,68,92,180,77,0,0,0,0,0,0,0,0,417
Audi,경기,개인,40~49,2016,21,14,6,0,0,0,0,0,0,0,0,0,41
Audi,경기,개인,40~49,2017,21,14,6,0,0,0,0,0,0,0,0,0,41
Audi,경기,개인,40~49,2018,5,0,0,176,105,97,97,91,10,11,30,26,648
Audi,경기,개인,40~49,2019,62,133,14,0,0,0,0,0,113,156,165,130,773
Audi,경기,개인,40~49,2020,60,37,75,94,108,103,137,104,157,190,195,161,"1,421"
Audi,경기,개인,40~49,2021,97,130,229,106,0,0,0,0,0,0,0,0,562
Audi,경기,개인,50~59,2016,12,9,2,0,0,0,0,0,0,0,0,0,23
Audi,경기,개인,50~59,2017,12,9,2,0,0,0,0,0,0,0,0,0,23
Audi,경기,개인,50~59,2018,5,0,0,110,45,48,53,56,3,5,14,19,358
Audi,경기,개인,50~59,2019,26,89,10,0,0,0,0,0,61,57,79,53,375
Audi,경기,개인,50~59,2020,36,14,31,60,46,55,76,53,69,64,110,99,713
Audi,경기,개인,50~59,2021,49,63,113,51,0,0,0,0,0,0,0,0,276
Audi,경기,개인,60~69,2016,5,5,1,0,0,0,0,0,0,0,0,0,11
Audi,경기,개인,60~69,2017,5,5,1,0,0,0,0,0,0,0,0,0,11
Audi,경기,개인,60~69,2018,4,0,0,34,9,13,14,22,2,0,2,3,103
Audi,경기,개인,60~69,2019,16,30,1,0,0,0,0,0,19,27,25,12,130
Audi,경기,개인,60~69,2020,11,5,15,21,18,9,26,17,31,17,32,38,240
